type,objects,R_choice,G_choice,P,div
sim,AOAO,A,A,present,
sim,AOAO,A,A,absent,
sim,AOAO,O,A,present,
sim,AOAO,O,A,absent,
sim,AOAO,A,O,present,
sim,AOAO,A,O,absent,
sim,AOAO,O,O,present,
sim,AOAO,O,O,absent,
sim,AOAO,A,A,present,yes
sim,AOAO,A,A,absent,yes
sim,AOAO,O,A,present,yes
sim,AOAO,O,A,absent,yes
sim,AOAO,A,O,present,yes
sim,AOAO,A,O,absent,yes
sim,AOAO,O,O,present,yes
sim,AOAO,O,O,absent,yes
seq,AO,A,,present,
seq,AO,A,,absent,
seq,AO,O,,present,
seq,AO,O,,absent,
seq,AAO,A,,present,
seq,AAO,A,,absent,
seq,AAO,A2,,present,
seq,AAO,A2,,absent,
seq,AAO,O,,present,
seq,AAO,O,,absent,
seq,AOO,A,,present,
seq,AOO,A,,absent,
seq,AOO,O,,present,
seq,AOO,O,,absent,
seq,AOO,O2,,present,
seq,AOO,O2,,absent,
seq,AAOO,A,,present,
seq,AAOO,A,,absent,
seq,AAOO,A2,,present,
seq,AAOO,A2,,absent,
seq,AAOO,O,,present,
seq,AAOO,O,,absent,
seq,AAOO,O2,,present,
seq,AAOO,O2,,absent,
