id,prolific_id,separatePref,randomizeVignettes,questionOrder,blockPrefFirst,trial_idx,trial_type,local_idx,story_id,description,vignette_1,vignette_2,vignette_3,vignette_order,rt,time_elapsed,social_goal,presentational_goal,social_goal_purple
c4kcmfayyw,60ff7c8f4f066ccf6fe05587,true,true,social_goal,complementary,20,trial,0,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Apple;Orange,Red prefers O (unlike Green). Red takes A when Purple is absent and O when Purple is present.,sim_R-O_G-A_P-present,seq_AO_R-A_P-absent,seq_AO_R-O_P-present,absent,25389,322094,5,95,87
c4kcmfayyw,60ff7c8f4f066ccf6fe05587,true,true,social_goal,complementary,24,trial,1,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Apple;Orange,Red prefers O (unlike Green). Red takes one of the two As when Purple is absent and O when Purple is present.,sim_R-O_G-A_P-present,seq_AAO_R-O_P-present,seq_AAO_R-A_P-absent,present,17676,380825,5,92,92
c4kcmfayyw,60ff7c8f4f066ccf6fe05587,true,true,social_goal,complementary,26,trial,2,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Orange;Apple,Red prefers O (unlike Green). Red takes O when Purple is absent and A when Purple is present.,sim_R-O_G-A_P-present,seq_AO_R-A_P-present,seq_AO_R-O_P-absent,present,94636,479450,51,50,5
c4kcmfayyw,60ff7c8f4f066ccf6fe05587,true,true,social_goal,complementary,27,trial,3,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Orange;Orange,Red prefers O (unlike Green). Red takes O when Purple is both absent and present.,sim_R-O_G-A_P-present,seq_AO_R-O_P-absent,seq_AO_R-O_P-present,absent,38230,517687,49,49,49
c4kcmfayyw,60ff7c8f4f066ccf6fe05587,true,true,social_goal,complementary,28,trial,4,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Orange;Orange,Red prefers O (unlike Green). Red takes O when Purple is both absent and present.,sim_R-O_G-A_P-present,seq_AAO_R-O_P-present,seq_AAO_R-O_P-absent,present,28846,546538,50,50,50
c4kcmfayyw,60ff7c8f4f066ccf6fe05587,true,true,social_goal,complementary,29,trial,5,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Apple;Apple,Red prefers O (unlike Green). Red takes A when Purple is both absent and present.,sim_R-O_G-A_P-present,seq_AO_R-A_P-absent,seq_AO_R-A_P-present,absent,27088,573631,0,0,3
c4kcmfayyw,60ff7c8f4f066ccf6fe05587,true,true,social_goal,complementary,30,trial,6,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Apple;Apple,Red prefers O (unlike Green). Red takes one of the two As when Purple is both absent and present.,sim_R-O_G-A_P-present,seq_AAO_R-A_P-absent,seq_AAO_R-A_P-present,absent,24838,598473,7,0,51
c4kcmfayyw,60ff7c8f4f066ccf6fe05587,true,true,social_goal,complementary,31,trial,7,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Orange;Apple,Red prefers O (unlike Green). Red takes O when Purple is absent and one of the two As when Purple is present.,sim_R-O_G-A_P-present,seq_AAO_R-O_P-absent,seq_AAO_R-A_P-present,absent,38170,636648,70,23,20
c4kcmfayyw,60ff7c8f4f066ccf6fe05587,true,true,social_goal,complementary,33,trial,8,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Apple;Orange,Red prefers A (same as Green). Red takes one of the As when Purple is absent and of O Purple is present.,sim_R-A_G-A_P-present,seq_AAO_R-O_P-present,seq_AAO_R-A_P-absent,present,18276,661322,51,100,100
c4kcmfayyw,60ff7c8f4f066ccf6fe05587,true,true,social_goal,complementary,34,trial,9,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Apple;Apple,Red prefers A (same as Green). Red takes one of the two As both when Purple is absent and present.,sim_R-A_G-A_P-present,seq_AAO_R-A_P-absent,seq_AAO_R-A_P-present,absent,16824,678151,49,49,49
c4kcmfayyw,60ff7c8f4f066ccf6fe05587,true,true,social_goal,complementary,35,trial,10,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Orange;Apple,Red prefers A (same as Green). Red takes O when Purple is absent and of the two As when Purple is present.,sim_R-A_G-A_P-present,seq_AAO_R-O_P-absent,seq_AAO_R-A_P-present,absent,27780,705937,77,34,49
c4kcmfayyw,60ff7c8f4f066ccf6fe05587,true,true,social_goal,complementary,36,trial,11,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Orange;Orange,Red prefers A (same as Green). Red takes O both when Purple is present or absent.,sim_R-A_G-A_P-present,seq_AO_R-O_P-present,seq_AO_R-O_P-absent,present,19067,725008,97,48,49
c4kcmfayyw,60ff7c8f4f066ccf6fe05587,true,true,social_goal,complementary,37,trial,12,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Apple;Orange,Red prefers A (same as Green). Red takes A when Purple is absent and O when Purple is present.,sim_R-A_G-A_P-present,seq_AO_R-A_P-absent,seq_AO_R-O_P-present,absent,18174,743187,51,95,97
c4kcmfayyw,60ff7c8f4f066ccf6fe05587,true,true,social_goal,complementary,38,trial,13,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Apple;Apple,Red prefers A (same as Green). Red takes A when Purple is both absent and present.,sim_R-A_G-A_P-present,seq_AO_R-A_P-present,seq_AO_R-A_P-absent,present,33148,776342,29,29,50
c4kcmfayyw,60ff7c8f4f066ccf6fe05587,true,true,social_goal,complementary,39,trial,14,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Orange;Orange,Red prefers A (same as Green). Red takes O both when Purple is absent and present.,sim_R-A_G-A_P-present,seq_AAO_R-O_P-absent,seq_AAO_R-O_P-present,absent,30209,806557,89,2,95
c4kcmfayyw,60ff7c8f4f066ccf6fe05587,true,true,social_goal,complementary,40,trial,15,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Orange;Apple,Red prefers A (same as Green). Red takes O when Purple is absent and A when Purple is present.,sim_R-A_G-A_P-present,seq_AO_R-O_P-absent,seq_AO_R-A_P-present,absent,41707,848270,98,5,8
