id,prolific_id,separatePref,randomizeVignettes,questionOrder,blockPrefFirst,trial_idx,trial_type,local_idx,story_id,description,vignette_1,vignette_2,vignette_3,vignette_order,rt,time_elapsed,social_goal,presentational_goal,social_goal_purple
33a6w9ol2m,66a3279007dbdd4d6d3a64a7,true,true,social_goal,complementary,20,trial,0,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Apple;Apple,Red prefers O (unlike Green). Red takes A when Purple is both absent and present.,sim_R-O_G-A_P-present,seq_AO_R-A_P-present,seq_AO_R-A_P-absent,present,44829,786755,0,2,2
33a6w9ol2m,66a3279007dbdd4d6d3a64a7,true,true,social_goal,complementary,24,trial,1,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Orange;Orange,Red prefers O (unlike Green). Red takes O when Purple is both absent and present.,sim_R-O_G-A_P-present,seq_AAO_R-O_P-present,seq_AAO_R-O_P-absent,present,20799,846120,100,100,100
33a6w9ol2m,66a3279007dbdd4d6d3a64a7,true,true,social_goal,complementary,26,trial,2,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Orange;Apple,Red prefers O (unlike Green). Red takes O when Purple is absent and A when Purple is present.,sim_R-O_G-A_P-present,seq_AO_R-A_P-present,seq_AO_R-O_P-absent,present,38946,895192,20,30,49
33a6w9ol2m,66a3279007dbdd4d6d3a64a7,true,true,social_goal,complementary,27,trial,3,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Apple;Apple,Red prefers O (unlike Green). Red takes one of the two As when Purple is both absent and present.,sim_R-O_G-A_P-present,seq_AAO_R-A_P-absent,seq_AAO_R-A_P-present,absent,88347,983541,0,0,0
33a6w9ol2m,66a3279007dbdd4d6d3a64a7,true,true,social_goal,complementary,28,trial,4,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Orange;Orange,Red prefers O (unlike Green). Red takes O when Purple is both absent and present.,sim_R-O_G-A_P-present,seq_AO_R-O_P-present,seq_AO_R-O_P-absent,present,27145,1010688,100,100,100
33a6w9ol2m,66a3279007dbdd4d6d3a64a7,true,true,social_goal,complementary,29,trial,5,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Apple;Orange,Red prefers O (unlike Green). Red takes one of the two As when Purple is absent and O when Purple is present.,sim_R-O_G-A_P-present,seq_AAO_R-A_P-absent,seq_AAO_R-O_P-present,absent,71282,1081971,47,48,49
33a6w9ol2m,66a3279007dbdd4d6d3a64a7,true,true,social_goal,complementary,30,trial,6,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Apple;Orange,Red prefers O (unlike Green). Red takes A when Purple is absent and O when Purple is present.,sim_R-O_G-A_P-present,seq_AO_R-A_P-absent,seq_AO_R-O_P-present,absent,123940,1205912,27,13,28
33a6w9ol2m,66a3279007dbdd4d6d3a64a7,true,true,social_goal,complementary,31,trial,7,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Orange;Apple,Red prefers O (unlike Green). Red takes O when Purple is absent and one of the two As when Purple is present.,sim_R-O_G-A_P-present,seq_AAO_R-O_P-absent,seq_AAO_R-A_P-present,absent,22452,1228367,14,15,52
33a6w9ol2m,66a3279007dbdd4d6d3a64a7,true,true,social_goal,complementary,33,trial,8,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Orange;Orange,Red prefers A (same as Green). Red takes O both when Purple is present or absent.,sim_R-A_G-A_P-present,seq_AO_R-O_P-absent,seq_AO_R-O_P-present,absent,27179,1269936,98,99,100
33a6w9ol2m,66a3279007dbdd4d6d3a64a7,true,true,social_goal,complementary,34,trial,9,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Apple;Apple,Red prefers A (same as Green). Red takes A when Purple is both absent and present.,sim_R-A_G-A_P-present,seq_AO_R-A_P-absent,seq_AO_R-A_P-present,absent,31926,1301864,100,99,100
33a6w9ol2m,66a3279007dbdd4d6d3a64a7,true,true,social_goal,complementary,35,trial,10,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Orange;Orange,Red prefers A (same as Green). Red takes O both when Purple is absent and present.,sim_R-A_G-A_P-present,seq_AAO_R-O_P-absent,seq_AAO_R-O_P-present,absent,16041,1317907,98,98,99
33a6w9ol2m,66a3279007dbdd4d6d3a64a7,true,true,social_goal,complementary,36,trial,11,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Orange;Apple,Red prefers A (same as Green). Red takes O when Purple is absent and of the two As when Purple is present.,sim_R-A_G-A_P-present,seq_AAO_R-A_P-present,seq_AAO_R-O_P-absent,present,18684,1336592,99,100,100
33a6w9ol2m,66a3279007dbdd4d6d3a64a7,true,true,social_goal,complementary,37,trial,12,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Apple;Orange,Red prefers A (same as Green). Red takes one of the As when Purple is absent and of O Purple is present.,sim_R-A_G-A_P-present,seq_AAO_R-A_P-absent,seq_AAO_R-O_P-present,absent,15771,1352365,98,98,98
33a6w9ol2m,66a3279007dbdd4d6d3a64a7,true,true,social_goal,complementary,38,trial,13,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Apple;Apple,Red prefers A (same as Green). Red takes one of the two As both when Purple is absent and present.,sim_R-A_G-A_P-present,seq_AAO_R-A_P-absent,seq_AAO_R-A_P-present,absent,17153,1369521,100,49,100
33a6w9ol2m,66a3279007dbdd4d6d3a64a7,true,true,social_goal,complementary,39,trial,14,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Apple;Orange,Red prefers A (same as Green). Red takes A when Purple is absent and O when Purple is present.,sim_R-A_G-A_P-present,seq_AO_R-A_P-absent,seq_AO_R-O_P-present,absent,19664,1389186,98,53,100
33a6w9ol2m,66a3279007dbdd4d6d3a64a7,true,true,social_goal,complementary,40,trial,15,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Orange;Apple,Red prefers A (same as Green). Red takes O when Purple is absent and A when Purple is present.,sim_R-A_G-A_P-present,seq_AO_R-O_P-absent,seq_AO_R-A_P-present,absent,19000,1408187,100,48,100
