id,prolific_id,separatePref,blockPrefFirst,trial_idx,trial_type,local_idx,story_id,description,vignette_1,vignette_2,vignette_3,vignette_order,rt,time_elapsed,social_goal,presentational_goal,social_goal_purple
7opevl6sbw,66298b9925888b2e93c3d3de,true,competitive,20,trial,0,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Orange;Apple,Red prefers A (same as Green). Red takes O when Purple is absent and A when Purple is present.,sim_R-A_G-A_P-present,seq_AO_R-O_P-absent,seq_AO_R-A_P-present,0,26107,459734,85,19,14
7opevl6sbw,66298b9925888b2e93c3d3de,true,competitive,24,trial,1,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Apple;Orange,Red prefers A (same as Green). Red takes A when Purple is absent and O when Purple is present.,sim_R-A_G-A_P-present,seq_AO_R-A_P-absent,seq_AO_R-O_P-present,0,15862,508089,38,89,88
7opevl6sbw,66298b9925888b2e93c3d3de,true,competitive,26,trial,2,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Orange;Orange,Red prefers A (same as Green). Red takes O both when Purple is absent and present.,sim_R-A_G-A_P-present,seq_AAO_R-O_P-absent,seq_AAO_R-O_P-present,0,28857,542306,87,86,85
7opevl6sbw,66298b9925888b2e93c3d3de,true,competitive,27,trial,3,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Apple;Apple,Red prefers A (same as Green). Red takes one of the two As both when Purple is absent and present.,sim_R-A_G-A_P-present,seq_AAO_R-A_P-absent,seq_AAO_R-A_P-present,0,28112,570419,68,40,53
7opevl6sbw,66298b9925888b2e93c3d3de,true,competitive,28,trial,4,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Apple;Apple,Red prefers A (same as Green). Red takes A when Purple is both absent and present.,sim_R-A_G-A_P-present,seq_AO_R-A_P-present,seq_AO_R-A_P-absent,0,30746,601167,11,25,75
7opevl6sbw,66298b9925888b2e93c3d3de,true,competitive,29,trial,5,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Orange;Apple,Red prefers A (same as Green). Red takes O when Purple is absent and of the two As when Purple is present.,sim_R-A_G-A_P-present,seq_AAO_R-O_P-absent,seq_AAO_R-A_P-present,0,32807,633976,53,48,51
7opevl6sbw,66298b9925888b2e93c3d3de,true,competitive,30,trial,6,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Apple;Orange,Red prefers A (same as Green). Red takes one of the As when Purple is absent and of O Purple is present.,sim_R-A_G-A_P-present,seq_AAO_R-A_P-absent,seq_AAO_R-O_P-present,0,30050,664028,52,57,73
7opevl6sbw,66298b9925888b2e93c3d3de,true,competitive,31,trial,7,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Orange;Orange,Red prefers A (same as Green). Red takes O both when Purple is present or absent.,sim_R-A_G-A_P-present,seq_AO_R-O_P-absent,seq_AO_R-O_P-present,0,18525,682555,86,83,92
7opevl6sbw,66298b9925888b2e93c3d3de,true,competitive,33,trial,8,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Orange;Orange,Red prefers O (unlike Green). Red takes O when Purple is both absent and present.,sim_R-O_G-A_P-present,seq_AO_R-O_P-present,seq_AO_R-O_P-absent,0,20351,708511,49,49,49
7opevl6sbw,66298b9925888b2e93c3d3de,true,competitive,34,trial,9,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Apple;Orange,Red prefers O (unlike Green). Red takes one of the two As when Purple is absent and O when Purple is present.,sim_R-O_G-A_P-present,seq_AAO_R-A_P-absent,seq_AAO_R-O_P-present,0,24251,732764,60,64,64
7opevl6sbw,66298b9925888b2e93c3d3de,true,competitive,35,trial,10,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Apple;Apple,Red prefers O (unlike Green). Red takes A when Purple is both absent and present.,sim_R-O_G-A_P-present,seq_AO_R-A_P-present,seq_AO_R-A_P-absent,0,18821,751586,13,83,13
7opevl6sbw,66298b9925888b2e93c3d3de,true,competitive,36,trial,11,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Orange;Apple,Red prefers O (unlike Green). Red takes O when Purple is absent and one of the two As when Purple is present.,sim_R-O_G-A_P-present,seq_AAO_R-O_P-absent,seq_AAO_R-A_P-present,0,30002,781590,45,37,51
7opevl6sbw,66298b9925888b2e93c3d3de,true,competitive,37,trial,12,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Apple;Apple,Red prefers O (unlike Green). Red takes one of the two As when Purple is both absent and present.,sim_R-O_G-A_P-present,seq_AAO_R-A_P-absent,seq_AAO_R-A_P-present,0,25922,807515,49,33,47
7opevl6sbw,66298b9925888b2e93c3d3de,true,competitive,38,trial,13,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Orange;Orange,Red prefers O (unlike Green). Red takes O when Purple is both absent and present.,sim_R-O_G-A_P-present,seq_AAO_R-O_P-absent,seq_AAO_R-O_P-present,0,16336,823853,86,80,86
7opevl6sbw,66298b9925888b2e93c3d3de,true,competitive,39,trial,14,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Orange;Apple,Red prefers O (unlike Green). Red takes O when Purple is absent and A when Purple is present.,sim_R-O_G-A_P-present,seq_AO_R-O_P-absent,seq_AO_R-A_P-present,0,32222,856078,28,18,51
